"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.67",0,0,-0.317047326154051,0.512559171014875,0.370827810040416,1,0,-0.580399194825379,0.552176362525607,0,0.130666919162468,0,0.114297736322383,0,67,1,50,-0.160328119329317
"result.68",0,0,-0.0452002380837002,0.641022334060053,0.23417515052293,1,0,-0.409649742691892,0.455583747484433,0,0.127210963183579,1,0.111561058536454,0,68,1,50,-0.316823814975005
"result.69",0,0,-0.191486347598693,0.385159728188356,0.355653281749479,1,0,-0.638374187326879,0.541228532351848,0,0.109887775361962,1,0.112886389385165,0,69,1,50,-0.256734584591949
"result.70",0,0,-0.218523005698022,0.514709941595542,0.350083674816607,1,0,-0.612054428138494,0.545702787968143,0,0.159158196283013,1,0.121957648269795,0,70,1,50,-0.159324861922279
"result.71",0,0,-0.213193386288728,0.439007969770353,0.383134763822679,1,0,-0.570753410109166,0.601252182525884,0,0.293205671762768,1,0.242169688987553,1,71,1,50,-0.174486164891796
"result.72",0,0,0.354308953676104,0.448212475264166,0.308901706485886,1,0,-0.489910545571973,0.570098258868918,0,0.443700285231446,1,0.258510881473365,1,72,1,50,-0.0414030149214073
"result.73",0,0,0.307512098848591,0.626628439867533,0.266368686100034,1,0,-0.436176138745258,0.50540008788426,0,0.092834583361459,0,0.0822875361212393,0,73,1,50,0.0926709579424851
"result.74",0,0,-0.278218550109188,0.533610051769549,0.352033089592258,1,0,-0.606466968705454,0.576562457438061,0,0.186331997411506,1,0.157797756206571,0,74,1,50,-0.0588602396495253
"result.75",0,0,0.413411701158078,0.214278873769835,0.286873583899248,1,1,-0.483976599020405,0.672930013675421,0,0.119282895752161,0,0.133619401629856,1,75,1,50,0.292117261944629
"result.76",0,0,0.119341359281221,0.535596281270808,0.223517045809995,1,0,-0.366672689947177,0.455623406118519,0,0.120031247924629,1,0.078062487298862,0,76,1,50,0.0849240381952095
"result.77",0,0,-0.0534336379698457,0.54381243845575,0.237225700703011,1,0,-0.445337649622224,0.383857489134801,0,0.171338689217598,1,0.105213198818631,0,77,1,50,-0.192155709449761
"result.78",0,0,-0.124373345240522,0.540052887629276,0.248636063105162,1,0,-0.434132573501408,0.415014858112454,0,0.142751190961334,1,0.151082415836789,0,78,1,50,-0.354358047405178
"result.79",0,0,-0.289625002202213,0.567904971980369,0.328901907263628,1,0,-0.523375445573593,0.45441789172597,0,0.0892551114328068,0,0.111893586255876,0,79,1,50,0.100370580626421
"result.80",0,0,-0.181686581752353,0.448011958476655,0.282612841755743,1,0,-0.59152742420058,0.429172335892533,0,0.230803735475998,1,0.104238193443396,0,80,1,50,-0.0647213338668548
"result.81",0,0,-0.496765654722168,0.363967370062387,0.257785610255295,1,0,-0.706540455754759,0.523900351380811,0,0.131612280002998,0,0.169244280848947,0,81,1,50,0.0700574722038211
"result.82",0,0,0.0549207069427849,0.553555937503398,0.26875648025164,1,0,-0.503319125447985,0.535366745892566,0,0.234248540175778,1,0.09042960238254,0,82,1,50,0.183241725722256
"result.83",0,0,0.249365554965883,0.517376073863789,0.319790734272871,1,0,-0.524581054575329,0.519172794647328,0,0.147379470125699,1,0.0902363462538539,0,83,1,50,0.162129240481009
"result.84",0,0,0.388907352504682,0.267053634982621,0.446821604686237,1,1,-0.668099721853901,0.638244905338833,0,0.228825959095043,1,0.214438588990018,1,84,1,50,0.127286452013316
"result.85",0,0,-0.076759910166489,0.510147168387339,0.362927414254694,1,0,-0.641497409810819,0.596313807935272,0,0.75054253020732,1,0.140899362892402,0,85,1,50,-0.0696346340985963
"result.86",0,0,0.19139597924339,0.470421376301567,0.292235099841091,1,1,-0.470651554843459,0.541760401969949,0,0.245427228884041,1,0.0986803193647197,0,86,1,50,-0.0918382308063618
"result.87",0,0,0.379923743331166,0.257541529728338,0.412312143123913,1,1,-0.576048040328938,0.603436695153936,0,0.113776921056727,0,0.164480813029028,1,87,1,50,0.102771316264667
"result.88",0,0,-0.340204028692386,0.284335224447881,0.217471995473534,1,1,-0.684975565174643,0.381612171183731,0,0.176425787981778,1,0.175566416704704,1,88,1,50,-0.342073719755351
"result.89",0,0,0.233077340024553,0.563550089911158,0.305819303605947,1,0,-0.52341744298285,0.559662172504247,0,0.280270793053192,1,0.085628196247854,0,89,1,50,-0.0214595346329737
"result.90",0,0,-0.242384342617823,0.544762763272729,0.163103722540505,1,0,-0.578124653138453,0.0724991952141506,0,0.119983454443619,0,0.0907500367294194,0,90,1,50,-0.203127810168985
"result.91",0,0,0.0295064876468447,0.606794592035677,0.204668763092237,1,0,-0.331264367592288,0.503841855547878,0,0.197390773141685,1,0.0909990874149513,0,91,1,50,0.280502431253434
"result.92",0,0,-0.126001586441841,0.436302012782361,0.286616381992657,1,0,-0.543103566480262,0.479019483650424,0,0.223270913229174,1,0.145866545441577,0,92,1,50,-0.0751856134155017
"result.93",0,0,0.245287959123459,0.550507784644198,0.24737648065223,1,0,-0.389190950486545,0.450886073755752,0,0.0742717669524686,0,0.094402138048281,0,93,1,50,0.0714555643642086
"result.94",0,0,0.190601348260394,0.55491879202923,0.14906816503025,1,0,0.0226480090657819,0.576788000041316,1,0.222585702791989,1,0.143809104731738,0,94,1,50,0.127365711066463
"result.95",0,0,0.0237710392003313,0.694051740832825,0.178505089320769,1,0,-0.346915271265452,0.310816261947722,0,0.23799639228257,1,0.115974780776636,0,95,1,50,-0.233917656117598
"result.96",0,0,0.212071630442921,0.530276819140651,0.274579896713782,1,0,-0.490923685121008,0.536597764787864,0,0.28343299418154,1,0.0946223585742358,0,96,1,50,0.100243011506259
"result.97",0,0,-0.0645242180223148,0.569432593233359,0.232440032538797,1,0,-0.42652373057766,0.359633410969771,0,0.110011139216372,1,0.07677217726888,0,97,1,50,-0.111850005616792
"result.98",0,0,-0.355254345635991,0.413919456697309,0.205461047917244,1,0,-0.598270212588635,0.365104195387186,0,0.0857238479341118,0,0.0712768535812688,0,98,1,50,-0.0770141007192809
